Author,Quote
Edward Fitzgerald,"I came like Water, and like Wind I go."
John Ralston Saul,"In the Arctic, the Inuit are saying water and land are the same; they're an unbroken unity. In the winter, you travel on the ice because it's the linkage and the easiest way, and in the summer, you move around on the water."
Arthur Conan Doyle,From a drop of water a logician could infer the possibility of an Atlantic or a Niagara without having seen or heard of one or the other.
Gwendolyn Brooks,"When you love a man, he becomes more than a body. His physical limbs expand, and his outline recedes, vanishes. He is rich and sweet and right. He is part of the world, the atmosphere, the blue sky and the blue water."
Fabio Lanzoni,There's nothing greener than Washington state. They have the most beautiful vegetation on the planet. And the water is so clean.
Hanya Yanagihara,"No religion makes more use of color than Hinduism, with its blue-skinned gods and peony-lipped goddesses, and even the spring festival of Holi is focused on color: Boys squirt arcs of dyed water on passersby or dump powder, all violently hued, on their marks."
Gore Vidal,"I'm exactly as I appear. There is no warm, lovable person inside. Beneath my cold exterior, once you break the ice, you find cold water."
Park Won-soon,The access to clean air and clean water is a basic right.
Eric Hoffer,The real Antichrist is he who turns the wine of an original idea into the water of mediocrity.
Molly Ivins,"Havin' fun while freedom fightin' must be one of those lunatic Texas traits we get from the water - which is known to have lithium in it - because it goes all the way back to Sam Houston, surely the most lovable, the most human, and the funniest of all the great men this country has ever produced."
Jill Wagner,"I eat a salad every single day. I also have been doing the juice 'thing' after every workout, and I try to drink a half-gallon of water a day."
Leonardo da Vinci,Water is the driving force of all nature.
Macy Gray,"I have a bronze statue of myself, naked. I have these really big curls and water comes out of every curl. It's hot."
Michelle Obama,"Clearly this is a tough economic time, and a lot of families are hurting. So when we talk to parents, we talk about small changes for kids and things that don't cost extra money. Like adding water and eliminating sugary drinks and sodas. That's going to save money right there. Or adding a few more vegetables."
Brian Clough,"Walk on water? I know most people out there will be saying that instead of walking on it, I should have taken more of it with my drinks. They are absolutely right."
Michael Phelps,I think the biggest things I am looking forward to is getting new faces into the sport. Getting kids who could be afraid of water to feel comfortable in the pool.
Rabindranath Tagore,The water in a vessel is sparkling; the water in the sea is dark. The small truth has words which are clear; the great truth has great silence.
Robert Bresson,"My movie is born first in my head, dies on paper; is resuscitated by the living persons and real objects I use, which are killed on film but, placed in a certain order and projected on to a screen, come to life again like flowers in water."
Maddie Ziegler,"I like Sprite a lot, but I try not to drink it. My mom doesn't want me to drink Sprite because it's unhealthy. So she always has me drink water, but it's hard not to!"
Nita Ambani,The lotus comes from the murkiest water but grows into the purest thing.
Claude Monet,"I will do water - beautiful, blue water."
D. H. Lawrence,"The more I see of democracy the more I dislike it. It just brings everything down to the mere vulgar level of wages and prices, electric light and water closets, and nothing else."
Letitia Elizabeth Landon,Society is like a large piece of frozen water; and skating well is the great art of social life.
Ian Thorpe,"For myself, losing is not coming second. It's getting out of the water knowing you could have done better. For myself, I have won every race I've been in."
Joan Didion,"A pool is water, made available and useful, and is, as such, infinitely soothing to the western eye."
George Grey,"Sunrise offered a very beautiful spectacle; the water was quite unruffled, but the motion communicated by the tides was so great that, although there was not a breath of air stirring, the sea heaved slowly with a grand and majestic motion."
